メーンディッシュ	main|dish	M_EY1_N|D_IH1_SH
プロカイン	procaine	P_R_OW1_K_EY2_N
スウェットシャツ	sweatshirts	S_W_EH1_T_SH_ER2_T_S
ヴァイス	vise	V_AY1_S
チェンジャー	changer	CH_EY1_N_JH_ER0
シックス	six	S_IH1_K_S
ピーナッツオイル	peanut|oil	P_IY1_N_AH0_T|OY1_L
インレット	inlet	IH1_N_L_EH2_T
スカ	ska	S_K_AA1
クーリングタワー	cooling|tower	K_UW1_L_IH0_NG|T_AW1_ER0
アカムプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
ソーシャルメディアハラスメント	social|media|harassment	S_OW1_SH_AH0_L|M_IY1_D_IY0_AH0|HH_ER0_AE1_S_M_AH0_N_T
オイルシルク	oil|silk	OY1_L|S_IH1_L_K
アドレス	address	AE1_D_R_EH2_S
ショックウェイブ	shockwave	SH_AA1_K_W_EY2_V
オスティナート	ostinato	AA2_S_T_AH0_N_AA1_T_OW2
ニューオープン	newly|open	N_UW1_L_IY0|OW1_P_AH0_N
ミュージカルコメディー	musical|comedy	M_Y_UW1_Z_IH0_K_AH0_L|K_AA1_M_AH0_D_IY0
バックストローク	backstroke	B_AE1_K_S_T_R_OW2_K
ラジャー	roger	R_AA1_JH_ER0
タフト	tuft	T_AH1_F_T
フート	foot	F_UH1_T
ジュニアミドル	junior|middle	JH_UW1_N_Y_ER0|M_IH1_D_AH0_L
セオリスト	theorist	TH_IY1_ER0_IH0_S_T
グルーヴィ	groovy	G_R_UW1_V_IY0
ダートコース	dirt|course	D_ER1_T|K_AO1_R_S
ランバーサポート	lumbar|support	L_AH1_M_B_AA2_R|S_AH0_P_AO1_R_T
コンポスト	compost	K_AA1_M_P_OW0_S_T
シロホン	xylophone	Z_AY1_L_AH0_F_OW2_N
コミサリー	commissary	K_AA1_M_AH0_S_EH2_R_IY0
クックドソーセージ	cooked|sausage	K_UH1_K_T|S_AO1_S_AH0_JH
アプリケーションサービス	application|service	AE2_P_L_AH0_K_EY1_SH_AH0_N|S_ER1_V_AH0_S
ワイヤー	wire	W_AY1_ER0
スクループル	scruple	S_K_R_UW1_P_AH0_L
バッティングケージ	batting|cage	B_AE1_T_IH0_NG|K_EY1_JH
ラブプレー	love|play	L_AH1_V|P_L_EY1
キャンバスワーク	canvas|work	K_AE1_N_V_AH0_S|W_ER1_K
ソシオロジー	sociology	S_OW2_S_IY0_AA1_L_AH0_JH_IY0
クロロプレン	chloroprene	K_L_AO1_R_AH0_P_R_IY2_N
グワカモレ	guacamole	G_W_AA2_K_AH0_M_OW1_L_IY0
シヤッタ	shutter	SH_AH1_T_ER0
コンバージェンス	convergence	K_AH0_N_V_ER1_JH_AH0_N_S
カラオケバー	karaoke|bar	K_EH2_R_IY0_OW1_K_IY0|B_AA1_R
アウトゥレット	outlet	AW1_T_L_EH2_T
メトトレキサート	methotrexate	M_EH2_TH_OW0_T_R_EH1_K_S_EY2_T
コーラルアイランド	coral|island	K_AO1_R_AH0_L|AY1_L_AH0_N_D
ダッチアングル	dutch|angle	D_AH1_CH|AE1_NG_G_AH0_L
ビジネスアナリスト	business|analyst	B_IH1_Z_N_AH0_S|AE1_N_AH0_L_IH0_S_T
チェッカーズ	checkers	CH_EH1_K_ER0_Z
インクリメンタル	incremental	IH2_N_K_R_AH0_M_EH1_N_T_AH0_L
ストラックアウト	strikeout	S_T_R_AY1_K_AW2_T
カスケードシャワー	cascade|shower	K_AE0_S_K_EY1_D|SH_AW1_ER0
アグレション	aggression	AH0_G_R_EH1_SH_AH0_N
ジェラシー	jealousy	JH_EH1_L_AH0_S_IY0
カリフォルニアコンドル	california|condor	K_AE2_L_AH0_F_AO1_R_N_Y_AH0|K_AA1_N_D_ER0
サイドストーリー	side|story	S_AY1_D|S_T_AO1_R_IY0
モラルパニック	moral|panic	M_AO1_R_AH0_L|P_AE1_N_IH0_K
スクラッチ	scratch	S_K_R_AE1_CH
リーフ	reef	R_IY1_F
ライスミルク	rice|milk	R_AY1_S|M_IH1_L_K
ドライビングコンテスト	driving|contest	D_R_AY1_V_IH0_NG|K_AA1_N_T_EH0_S_T
コーテーションマーク	quotation|mark	K_W_OW0_T_EY1_SH_AH0_N|M_AA1_R_K
ウォシュレット	wash|toilet	W_AA1_SH|T_OY1_L_AH0_T
サブユニット	subunit	S_AH2_B_Y_UW1_N_IH0_T
ファストン	fast|on	F_AE1_S_T|AA1_N
クイックタブ	quick|tab	K_W_IH1_K|T_AE1_B
ナルシス	narcisse	N_AA1_R_S_IH0_S
オンブル	hombre	HH_AA1_M_B_R_AH0
ライフパートナー	life|partner	L_AY1_F|P_AA1_R_T_N_ER0
ネットビジネス	net|business	N_EH1_T|B_IH1_Z_N_AH0_S
スクランブル	scramble	S_K_R_AE1_M_B_AH0_L
ワーキンググループ	working|group	W_ER1_K_IH0_NG|G_R_UW1_P
ウズベキスタン	uzbekistan	UW0_Z_B_EH1_K_IH0_S_T_AE2_N
シェアウエア	shareware	SH_EH1_R_W_EH2_R
ローテク	low-tech	L_OW2_T_EH1_K
バチスト	batiste	B_AH0_T_IH1_S_T_AH0
ツナサンド	tuna|sand	T_UW1_N_AH0|S_AE1_N_D
フランネル	flannel	F_L_AE1_N_AH0_L
アプリケーションシステム	application|system	AE2_P_L_AH0_K_EY1_SH_AH0_N|S_IH1_S_T_AH0_M
ワイフ	wife	W_AY1_F
ユマニスト	humanist	HH_Y_UW1_M_AH0_N_IH0_S_T
アクムレイト	accumulate	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T
プロセッサー	processor	P_R_AA1_S_EH2_S_ER0
コンソート	consort	K_AH0_N_S_AO1_R_T
オンラインバックアップ	online|backup	AO1_N_L_AY2_N|B_AE1_K_AH2_P
モーニングショー	morning|show	M_AO1_R_N_IH0_NG|SH_OW1
バスシェルター	bus|shelter	B_AH1_S|SH_EH1_L_T_ER0
マスターキー	master|key	M_AE1_S_T_ER0|K_IY1
キックバック	kickback	K_IH1_K_B_AE2_K
オプショナルパーツ	optional|parts	AA1_P_SH_AH0_N_AH0_L|P_AA1_R_T_S
ダイエット	diet	D_AY1_AH0_T
ガーデナー	gardener	G_AA1_R_D_AH0_N_ER0
ショッピングバッグ	shopping|bag	SH_AA1_P_IH0_NG|B_AE1_G
ギュルデン	guilder	G_IH1_L_D_ER0
キニーネ	quinine	K_W_AY1_N_AY2_N
ヒップアップ	hip|up	HH_IH1_P|AH1_P
レコードキー	record|key	R_AH0_K_AO1_R_D|K_IY1
バーチャルパス	virtual|path	V_ER1_CH_UW0_AH0_L|P_AE1_TH
マッキントッシュ	macintosh	M_AE1_K_AH0_N_T_AO2_SH
コピーライター	copywriter	K_AA1_P_IY0_R_AY2_T_ER0
マルチメディアデータベース	multimedia|database	M_AH2_L_T_IY0_M_IY1_D_IY0_AH0|D_EY1_T_AH0_B_EY2_S
ボルシェヴィズム	bolshevism	B_OW1_L_SH_AH0_V_IH2_Z_AH0_M
ゼブラ	zebra	Z_IY1_B_R_AH0
ボロネーゼ	bolognese	B_OW0_L_OW0_NG_EH1_Z_IY0
ファイアーマン	fireman	F_AY1_R_M_AH0_N
ピンクレディー	pink|lady	P_IH1_NG_K|L_EY1_D_IY0
ボックスモデル	box|model	B_AA1_K_S|M_AA1_D_AH0_L
インク	ink	IH1_NG_K
ラブチェアー	love|chair	L_AH1_V|CH_EH1_R
クロスバンカー	cross|bunker	K_R_AO1_S|B_AH1_NG_K_ER0
トリムマーク	trim|mark	T_R_IH1_M|M_AA1_R_K
カリパス	calipers	K_AE1_L_AH0_P_ER0_Z
フォーミュラ	formula	F_AO1_R_M_Y_AH0_L_AH0
ルース	loose	L_UW1_S
ジャパンバッシング	japan|bashing	JH_AH0_P_AE1_N|B_AE1_SH_IH0_NG
ギリー	gillie	G_IH1_L_IY0
インニング	inning	IH1_N_IH0_NG
カスタムカー	custom|car	K_AH1_S_T_AH0_M|K_AA1_R
マングース	mongoose	M_AA1_NG_G_UW0_S
インテンショナル	intentional	IH2_N_T_EH1_N_SH_AH0_N_AH0_L
スプリングコート	spring|coat	S_P_R_IH1_NG|K_OW1_T
ロンリー	lonely	L_OW1_N_L_IY0
セブンティーン	seventeen	S_EH1_V_AH0_N_T_IY1_N
ハイキング	hiking	HH_AY1_K_IH0_NG
ストリング	string	S_T_R_IH1_NG
ソラリアム	solarium	S_AH0_L_EH1_R_IY0_AH0_M
デュアルホームド	dual|homed	D_UW1_AH0_L|HH_OW1_M_D
テニスラケット	tennis|racket	T_EH1_N_AH0_S|R_AE1_K_IH0_T
マリンタワー	marine|tower	M_ER0_IY1_N|T_AW1_ER0
ジャーナル	journal	JH_ER1_N_AH0_L
ツイーター	tweeter	T_W_IY1_T_ER0
パッケージプログラム	package|program	P_AE1_K_AH0_JH|P_R_OW1_G_R_AE2_M
モバイルバッテリー	mobile|battery	M_OW1_B_AH0_L|B_AE1_T_ER0_IY0
タイトスカート	tight|skirt	T_AY1_T|S_K_ER1_T
コスメトロジー	cosmetology	K_AA2_Z_M_AH0_T_AA1_L_AH0_JH_IY0
アンスロポロジー	anthropology	AE2_N_TH_R_AH0_P_AA1_L_AH0_JH_IY0
ミネルウァ	minerva	M_AH0_N_ER1_V_AH0
メインストリート	main|street	M_EY1_N|S_T_R_IY1_T
グッドラック	good|luck	G_UH1_D|L_AH1_K
グリッドバイアス	grid|bias	G_R_IH1_D|B_AY1_AH0_S
スキニー	skinny	S_K_IH1_N_IY0
シベット	civet	S_IH1_V_AH0_T
アパシー	apathy	AE1_P_AH0_TH_IY0
ソサエティ	society	S_OW0_S_AY1_IH0_T_IY0
デージーチェーン	daisy|chain	D_EY1_Z_IY0|CH_EY1_N
シックナー	thickener	TH_IH1_K_AH0_N_ER0
オフィシャルゲーム	official|game	AH0_F_IH1_SH_AH0_L|G_EY1_M
タイムキーパー	time|keeper	T_AY1_M|K_IY1_P_ER0
ベイクドチーズケーキ	baked|cheesecake	B_EY1_K_T|CH_IY1_Z_K_EY2_K
ミリオン	million	M_IH1_L_Y_AH0_N
アクロバットチーム	acrobat|team	AE1_K_R_AH0_B_AE2_T|T_IY1_M
トポロジカル	topological	T_AH0_P_AH0_L_AA1_JH_IH0_K_AH0_L
バッファオーバラン	buffer|overrun	B_AH1_F_ER0|OW1_V_ER0_R_AH2_N
バルト	balt	B_AO1_L_T
ヴィンテージ	vintage	V_IH1_N_T_IH0_JH
シリアルナンバー	serial|number	S_IH1_R_IY2_AH0_L|N_AH1_M_B_ER0
クラップス	craps	K_R_AE1_P_S
サマータイム	summer|time	S_AH1_M_ER0|T_AY1_M
ポンド	pond	P_AA1_N_D
ソフトスキル	soft|skill	S_AA1_F_T|S_K_IH1_L
ファーストインプレッション	first|impression	F_ER1_S_T|IH2_M_P_R_EH1_SH_AH0_N
アプローチショット	approach|shot	AH0_P_R_OW1_CH|SH_AA1_T
ヒトラー	hitler	HH_IH1_T_L_ER0
ステイト	state	S_T_EY1_T
ハーフタイム	half|time	HH_AE1_F|T_AY1_M
ネットイン	net|in	N_EH1_T|IH0_N
スループット	throughput	TH_R_UW1_P_UH2_T
レングス	length	L_EH1_NG_K_TH
ウイッグ	wig	W_IH1_G
アサイラム	asylum	AH0_S_AY1_L_AH0_M
プロゲステロン	progesterone	P_R_OW0_JH_EH1_S_T_ER0_OW2_N
トレース	trace	T_R_EY1_S
ビュワー	viewer	V_Y_UW1_ER0
アクロレイン	acrolein	AE1_K_R_OW0_L_IY2_N
ラウンジチェア	lounge|chair	L_AW1_N_JH|CH_EH1_R
ムスタッシュ	mustache	M_AH1_S_T_AE2_SH
リピートキー	repeat|key	R_IH0_P_IY1_T|K_IY1
イースト	east	IY1_S_T
ユーモリスト	humorist	HH_Y_UW1_M_ER0_AH0_S_T
ハイフネーション	hyphenation	HH_AY2_F_AH0_N_EY1_SH_AH0_N
モルグ	morgue	M_AO1_R_G
クリスチャンラップ	christian|rap	K_R_IH1_S_CH_AH0_N|R_AE1_P
サンサルバドル	san|salvador	S_AE1_N|S_AE1_L_V_AH0_D_AO2_R
ランデブー	rendezvous	R_AA1_N_D_IH0_V_UW2
ディジーズ	disease	D_IH0_Z_IY1_Z
タンクブリージング	tank|breathing	T_AE1_NG_K|B_R_IY1_DH_IH0_NG
カノン	cannon	K_AE1_N_AH0_N
イアリング	earring	IH1_R_IH0_NG
ボートハウス	boathouse	B_OW1_T_HH_AW1_S
マッフィン	muffin	M_AH1_F_AH0_N
ドロマイト	dolomite	D_OW1_L_AH0_M_AY2_T
アポストロ	apostle	AH0_P_AO1_S_AH0_L
ポロシャツ	polo|shirts	P_OW1_L_OW0|SH_ER1_T_S
アイドルコスト	idle|cost	AY1_D_AH0_L|K_AA1_S_T
メタルハイドライド	metal|hydride	M_EH1_T_AH0_L|HH_AY1_D_R_AY2_D
ピップ	pip	P_IH1_P
イントランス	entrance	EH1_N_T_R_AH0_N_S
ウインウイン	win|win	W_IH1_N|W_IH1_N
アシメトリー	asymmetry	EY2_S_IH1_M_AH0_T_R_IY0
モデレーション	moderation	M_AA2_D_ER0_EY1_SH_AH0_N
アクティブデスクトップ	active|desktop	AE1_K_T_IH0_V|D_EH1_S_K_T_AA2_P
エッグチェアー	egg|chair	EH1_G|CH_EH1_R
キャンディ	candy	K_AE1_N_D_IY0
バンデージ	bandage	B_AE1_N_D_IH0_JH
ワッシャ	washer	W_AA1_SH_ER0
イーワールド	eworld	IY1_W_ER2_L_D
レイマン	layman	L_EY1_M_AH0_N
ベーキングソーダ	baking|soda	B_EY1_K_IH0_NG|S_OW1_D_AH0
ドアストッパー	door|stopper	D_AO1_R|S_T_AA1_P_ER0
バディシステム	buddy|system	B_AH1_D_IY0|S_IH1_S_T_AH0_M
ダディ	daddy	D_AE1_D_IY0
メタルスキー	metal|ski	M_EH1_T_AH0_L|S_K_IY1
オンラインテラーズマシン	online|teller's|machine	AO1_N_L_AY2_N|T_EH1_L_ER0_Z|M_AH0_SH_IY1_N
ワインディング	winding	W_AY1_N_D_IH0_NG
インライン	in|line	IH0_N|L_AY1_N
ロードショー	roadshow	R_OW1_D_SH_OW2
テレビジョンスクリン	television|screen	T_EH1_L_IH0_V_IH0_ZH_AH0_N|S_K_R_IY1_N
サーフェスモデル	surface|model	S_ER1_F_AH0_S|M_AA1_D_AH0_L
ウォーゲーム	war|game	W_AO1_R|G_EY1_M
ショッキング	shocking	SH_AA1_K_IH0_NG
スクリーンカプチャー	screen|capture	S_K_R_IY1_N|K_AE1_P_CH_ER0
チタン	titan	T_AY1_T_AH0_N
ソレイユ	soleil	S_OW0_L_EY1_L
フラワーデザイン	floral|design	F_L_AO1_R_AH0_L|D_IH0_Z_AY1_N
ティーンズ	teens	T_IY1_N_Z
アメリカインディアン	america|indian	AH0_M_EH1_R_IH0_K_AH0|IH1_N_D_IY0_AH0_N
バンプマップ	bump|map	B_AH1_M_P|M_AE1_P
ローンテニス	lawn|tennis	L_AO1_N|T_EH1_N_AH0_S
ウィンザーチェアー	windsor|chair	W_IH1_N_Z_ER0|CH_EH1_R
グラン	grand	G_R_AE1_N_D
シングルトラック	single|track	S_IH1_NG_G_AH0_L|T_R_AE1_K
スパゲッティー	spaghetti	S_P_AH0_G_EH1_T_IY0
グリズリーベア	grizzly|bear	G_R_IH1_Z_L_IY0|B_EH1_R
イントラント	entrant	EH1_N_T_R_AH0_N_T
ノンストップコンピュータ	non-stop|computer	N_AA2_N_S_T_AA1_P|K_AH0_M_P_Y_UW1_T_ER0
トムコリンズ	tom|collins	T_AA1_M|K_AA1_L_IH0_N_Z
レイテンシー	latency	L_EY1_T_AH0_N_S_IY0
トリビューン	tribune	T_R_IH1_B_Y_UW0_N
モンテカルロ	monte|carlo	M_AA1_N_T_IY0|K_AA1_R_L_OW0
フィジカルディスタンス	physical|distance	F_IH1_Z_IH0_K_AH0_L|D_IH1_S_T_AH0_N_S
レフェラルセンタ	referral|centre	R_IH0_F_ER1_AH0_L|S_EH1_N_T_ER0
テストラン	test|run	T_EH1_S_T|R_AH1_N
グレートデン	great|dane	G_R_EY1_T|D_EY1_N
スクリプトファイル	script|file	S_K_R_IH1_P_T|F_AY1_L
アーバンデザイン	urban|design	ER1_B_AH0_N|D_IH0_Z_AY1_N
アルジェリア	algeria	AE0_L_JH_IH1_R_IY0_AH0
ザイール	zaire	Z_AY0_IH1_R
パウダールーム	powder|room	P_AW1_D_ER0|R_UW1_M
グリーンメール	greenmail	G_R_IY1_N_M_EY2_L
トリミング	trimming	T_R_IH1_M_IH0_NG
パレンセシス	parentheses	P_ER0_EH1_N_TH_AH0_S_IY2_Z
テンプテーション	temptation	T_EH0_M_T_EY1_SH_AH0_N
バタフライナイフ	butterfly|knife	B_AH1_T_ER0_F_L_AY2|N_AY1_F
カバーグラス	cover|glass	K_AH1_V_ER0|G_L_AE1_S
パンチ	punch	P_AH1_N_CH
カラード	colored	K_AH1_L_ER0_D
アームカバー	arm|cover	AA1_R_M|K_AH1_V_ER0
スィーパー	sweeper	S_W_IY1_P_ER0
コンベンションビューロー	convention|bureau	K_AH0_N_V_EH1_N_SH_AH0_N|B_Y_UH1_R_OW0
スタビライザー	stabilizer	S_T_EY1_B_AH0_L_AY2_Z_ER0
スーベニアショップ	souvenir|shop	S_UW2_V_AH0_N_IH1_R|SH_AA1_P
データセンター	data|center	D_EY1_T_AH0|S_EH1_N_T_ER0
カルチャーツアー	cultural|tour	K_AH1_L_CH_ER0_AH0_L|T_UH1_R
ジャンピング	jumping	JH_AH1_M_P_IH0_NG
ラブラドールレトリバー	labrador|retriever	L_AE1_B_R_AH0_D_AO2_R|R_IY0_T_R_IY1_V_ER0
フロアレディー	floor|lady	F_L_AO1_R|L_EY1_D_IY0
グッドモーニング	good|morning	G_UH1_D|M_AO1_R_N_IH0_NG
プロファイルエディタ	profile|editor	P_R_OW1_F_AY2_L|EH1_D_AH0_T_ER0
ホワイトアスパラガス	white|asparagus	W_AY1_T|AH0_S_P_EH1_R_AH0_G_AH0_S
メルコスル	mercosur	M_ER1_K_OW2_S_ER2
ブライトカラー	bright|color	B_R_AY1_T|K_AH1_L_ER0
ロードムービー	road|movie	R_OW1_D|M_UW1_V_IY0
フォアシステムズ	fore|systems	F_AO1_R|S_IH1_S_T_AH0_M_Z
ブラックマンデー	black|monday	B_L_AE1_K|M_AH1_N_D_IY0
プライステーカー	price|taker	P_R_AY1_S|T_EY1_K_ER0
アテンションエコノミー	attention|economy	AH0_T_EH1_N_SH_AH0_N|IH0_K_AA1_N_AH0_M_IY0
オルト	ortho	AO1_R_TH_OW2
ハイウエイラジオ	highway|radio	HH_AY1_W_EY2|R_EY1_D_IY0_OW2
ソフトテニス	soft|tennis	S_AA1_F_T|T_EH1_N_AH0_S
ギャロップ	gallop	G_AE1_L_AH0_P
トレイルランナー	trail|runner	T_R_EY1_L|R_AH1_N_ER0
シナジー	synergy	S_IH1_N_ER0_JH_IY0
マルチツール	multi|tool	M_AH1_L_T_IY0|T_UW1_L
ポリッシュ	polish	P_AA1_L_IH0_SH
スロットル	throttle	TH_R_AA1_T_AH0_L
ブラボー	bravo	B_R_AA1_V_OW0
アサシネイト	assassinate	AH0_S_AE1_S_AH0_N_EY2_T
コンピューターワクチン	computer|vaccine	K_AH0_M_P_Y_UW1_T_ER0|V_AE2_K_S_IY1_N
シーツ	sheet	SH_IY1_T
ヒンドゥー	hindu	HH_IH1_N_D_UW2
アクアラング	aqualung	AE1_K_W_AH0_L_AH0_NG
プリントクラブ	print|club	P_R_IH1_N_T|K_L_AH1_B
エストロゲン	estrogen	EH1_S_T_R_AH0_JH_AH0_N
ジーンズ	jeans	JH_IY1_N_Z
ランチョンミート	luncheon|meat	L_AH1_N_CH_AH0_N|M_IY1_T
スマーフ	smurf	S_M_ER1_F
ランドスケープモード	landscape|mode	L_AE1_N_D_S_K_EY2_P|M_OW1_D
ヒューズネットワークシステムズ	hughes|network|systems	HH_Y_UW1_Z|N_EH1_T_W_ER2_K|S_IH1_S_T_AH0_M_Z
デマケーション	demarcation	D_IY2_M_AA0_R_K_EY1_SH_AH0_N
サブメニュー	sub|menu	S_AH1_B|M_EH1_N_Y_UW0
ダイニングバー	dining|bar	D_AY1_N_IH0_NG|B_AA1_R
ジャスト	just	JH_AH1_S_T
バーゲンハンティング	bargain|hunting	B_AA1_R_G_AH0_N|HH_AH1_N_T_IH0_NG
スワッピング	swapping	S_W_AA1_P_IH0_NG
フラー	hurrah	HH_UH0_R_AA1
ビーツ	beets	B_IY1_T_S
ソーシャルディスタンシング	social|distancing	S_OW1_SH_AH0_L|D_IH1_S_T_AH0_N_S_IH0_NG
シフォンベルベット	chiffon|velvet	SH_IH0_F_AA1_N|V_EH1_L_V_AH0_T
レベリオン	rebellion	R_IH0_B_EH1_L_Y_AH0_N
ベーグル	bagel	B_EY1_G_AH0_L
フードロス	food|loss	F_UW1_D|L_AO1_S
フロート	float	F_L_OW1_T
リービング	leaving	L_IY1_V_IH0_NG
ギブアップ	give|up	G_IH1_V|AH1_P
ケッパー	caper	K_EY1_P_ER0
ベルトコンベア	belt|conveyor	B_EH1_L_T|K_AH0_N_V_EY1_ER0
ハッシュテーブル	hash|table	HH_AE1_SH|T_EY1_B_AH0_L
スターリングエンジン	sterling|engine	S_T_ER1_L_IH0_NG|EH1_N_JH_AH0_N
ハードロック	hard|rock	HH_AA1_R_D|R_AA1_K
プラグコンパチブル	plug|compatible	P_L_AH1_G|K_AH0_M_P_AE1_T_AH0_B_AH0_L
ビーチハンドボール	beach|handball	B_IY1_CH|HH_AE1_N_D_B_AO2_L
チームパシュート	team|pursuit	T_IY1_M|P_ER0_S_UW1_T
ボンジュール	bonjour	B_AH0_N_ZH_UH1_R
オンショア	onshore	AA1_N_SH_AO2_R
スリット	slit	S_L_IH1_T
アンファン	enfant	EH1_N_F_AA2_N_T
メディケイド	medicaid	M_EH1_D_AH0_K_EY2_D
レフェリー	referee	R_EH2_F_ER0_IY1
バリトンサキソホン	baritone|saxophone	B_EH1_R_AH0_T_OW2_N|S_AE1_K_S_AH0_F_OW2_N
ランキング	ranking	R_AE1_NG_K_IH0_NG
ヒューマー	humor	HH_Y_UW1_M_ER0
メイス	mace	M_EY1_S
イングリッシュブレックファースト	english|breakfast	IH1_NG_G_L_IH0_SH|B_R_EH1_K_F_AH0_S_T
レンタルシステム	rental|system	R_EH1_N_T_AH0_L|S_IH1_S_T_AH0_M
テリア	terrier	T_EH1_R_IY0_ER0
ブランデ	brandy	B_R_AE1_N_D_IY0
モバイルゲーム	mobile|game	M_OW1_B_AH0_L|G_EY1_M
パイロット	pilot	P_AY1_L_AH0_T
ブロントザウルス	brontosaurus	B_R_AO2_N_T_AH0_S_AO1_R_AH0_S
スクリブルドエンゼル	scribbled|angel	S_K_R_IH1_B_AH0_L_D|EY1_N_JH_AH0_L
プリセット	preset	P_R_IY0_S_EH1_T
バイマンスリー	bimonthly	B_AY0_M_AH1_N_TH_L_IY0
テクノロジーアート	technology|art	T_EH0_K_N_AA1_L_AH0_JH_IY0|AA1_R_T
コンピューターゲーム	computer|game	K_AH0_M_P_Y_UW1_T_ER0|G_EY1_M
ローカルコスト	local|cost	L_OW1_K_AH0_L|K_AA1_S_T
ポリモフィズム	polymorphism	P_AA2_L_IY2_M_AO1_R_F_IH0_Z_M
ショッピングバッグレディー	shopping|bag|lady	SH_AA1_P_IH0_NG|B_AE1_G|L_EY1_D_IY0
サザン	southern	S_AH1_DH_ER0_N
チャネルステータスワード	channel|status|word	CH_AE1_N_AH0_L|S_T_AE1_T_AH0_S|W_ER1_D
グルー	glue	G_L_UW1
ヴァージョン	version	V_ER1_ZH_AH0_N
リードボーカル	lead|vocal	L_EH1_D|V_OW1_K_AH0_L
マイカー	my|car	M_AY1|K_AA1_R
エリジビリティー	eligibility	EH2_L_IH0_JH_AH0_B_IH1_L_IH0_T_IY0
シュガー	sugar	SH_UH1_G_ER0
ゴールゲッター	goal|getter	G_OW1_L|G_EH1_T_ER0
アドレスカウンタ	address|counter	AE1_D_R_EH2_S|K_AW1_N_T_ER0
ボンデージ	bondage	B_AA1_N_D_IH0_JH
インテーク	intake	IH1_N_T_EY2_K
マリンパーク	marine|park	M_ER0_IY1_N|P_AA1_R_K
ベークトポテト	baked|potato	B_EY1_K_T|P_AH0_T_EY1_T_OW2
ラビー	lavie	L_EY1_V_IY0
レジストレーション	registration	R_EH2_JH_IH0_S_T_R_EY1_SH_AH0_N
ワンダー	wonder	W_AH1_N_D_ER0
リセラー	reseller	R_IY0_S_EH1_L_ER0
データバンク	data|bank	D_EY1_T_AH0|B_AE1_NG_K
プログラムシャッター	program|shutter	P_R_OW1_G_R_AE2_M|SH_AH1_T_ER0
レッドバナナ	red|banana	R_EH1_D|B_AH0_N_AE1_N_AH0
ダズン	dozen	D_AH1_Z_AH0_N
シズル	sizzle	S_IH1_Z_AH0_L
シートカバー	seat|cover	S_IY1_T|K_AH1_V_ER0
クレスト	crest	K_R_EH1_S_T
クレッセント	crescent	K_R_EH1_S_AH0_N_T
ピークレート	peak|rate	P_IY1_K|R_EY1_T
ドリップドライ	drip|dry	D_R_IH1_P|D_R_AY1
ウールマーク	wool|mark	W_UH1_L|M_AA1_R_K
オーレ	ole	OW1_L
リバティー	liberty	L_IH1_B_ER0_T_IY2
ミドルティーン	middle|teen	M_IH1_D_AH0_L|T_IY1_N
ネゴシエート	negotiate	N_AH0_G_OW1_SH_IY0_EY2_T
コントローラ	controller	K_AH0_N_T_R_OW1_L_ER0
スキマー	skimmer	S_K_IH1_M_ER0
ビッグ	big	B_IH1_G
ゴアードスカート	gored|skirt	G_AO1_R_D|S_K_ER1_T
ディスコグラフィー	discography	D_IH0_S_K_AO1_G_R_AH0_F_IY0
フォックス	fox	F_AA1_K_S
オートストップ	auto|stop	AO1_T_OW0|S_T_AA1_P
メロドラマ	melodrama	M_EH1_L_AH0_D_R_AA2_M_AH0
ボディチェック	body|check	B_AA1_D_IY0|CH_EH1_K
トップランナー	top|runner	T_AA1_P|R_AH1_N_ER0
アサイン	assign	AH0_S_AY1_N
アテナイ	athens	AE1_TH_AH0_N_Z
ウエブサイト	web|site	W_EH1_B|S_AY1_T
ヌードシーン	nude|scene	N_UW1_D|S_IY1_N
ゴールデンアワー	golden|hour	G_OW1_L_D_AH0_N|AW1_ER0
ダイナミックス	dynamics	D_AY0_N_AE1_M_IH0_K_S
クレマティス	clematis	K_L_EH1_M_AH0_T_IH0_S
クリニック	clinic	K_L_IH1_N_IH0_K
ラブホテル	love|hotel	L_AH1_V|HH_OW0_T_EH1_L
サイファイ	sci|fi	S_AY2_F_AY1
バット	bat	B_AE1_T
ウィメンズ	women's	W_IH1_M_AH0_N_Z
フォトリアリズム	photo|realism	F_OW1_T_OW2|R_IY1_AH0_L_IH0_Z_M
リテラチュア	literature	L_IH1_T_ER0_AH0_CH_ER0
シェアードメモリ	shared|memory	SH_EH1_R_D|M_EH1_M_ER0_IY0
リザベーション	reservation	R_EH2_Z_ER0_V_EY1_SH_AH0_N
ソーシャルケースワーカー	social|caseworker	S_OW1_SH_AH0_L|K_EY1_S_W_ER2_K_ER0
ゴシップ	gossip	G_AA1_S_AH0_P
マチズモ	machismo	M_AH0_CH_IH1_Z_M_OW0
トゥルーストーリー	true|story	T_R_UW1|S_T_AO1_R_IY0
スラヴ	slav	S_L_AA1_V
プルドポーク	pulled|pork	P_UH1_L_D|P_AO1_R_K
アームライト	arm|light	AA1_R_M|L_AY1_T
セルリレーサービス	cell|relay|service	S_EH1_L|R_IY1_L_EY2|S_ER1_V_AH0_S
デスメタル	death|metal	D_EH1_TH|M_EH1_T_AH0_L
エクスプレッション	expression	IH0_K_S_P_R_EH1_SH_AH0_N
ノンターミナル	non|terminal	N_AA1_N|T_ER1_M_IH0_N_AH0_L
