フルーツサラダ	fruits salad
コブサラダ	cobb salad
プルームテクトニクス	plume tectonics
エレクトロニックミュージック	electronic music
コンベンションホール	convention hall
ガウチョルック	gaucho look
ジーマーク	g mark
レセプションアテンダント	reception attendant
ホームタウンデシジョン	hometown decision
リソースフォーク	resource fork
アフターフォロー	after follow
ダッフルバッグ	duffel bag
ジュニアウエルター	junior welter
プリントキュー	print queue
マルチパン	multi pan
ラブソファー	love sofa
レジャーランド	leisure land
ジャーマンシェパードドッグ	german shepherd dog
インテリジェントデザイン	intelligent design
シリアルキラー	serial killer
トートバック	tote bag
ワインカラー	wine color
レセプションルーム	reception room
バックスクロール	back scroll
ノンストアリテーリング	non store retailing
ダービーマッチ	derby match
エコーキャンセル	echo cancellation
パケットドライバ	packet driver
プエルトリコ	puerto rico
エンカウンターグループ	encounter group
クイーンズイングリッシュ	queen's english
ブックストラップ	book strap
スタンダップコメディー	stand-up comedy
バトンガール	baton twirler
コンバットチーム	combat team
フードバンク	food bank
ドキュメントプロパティ	document property
インサイドベースボール	inside baseball
クライアントサーバ	client server
シティーエアターミナル	city air terminal
アカウントプランナー	account planner
トマトピューレ	tomato puree
ワールドエンタープライズ	world enterprise
ウェブサーバー	web server
マウスクリック	mouse click
ラストオーダー	last order
アーバンエクソダス	urban exodus
ゲストコンピュータ	guest computer
セカンドリビング	second living
ネガティブオプション	negative option
マシニングセンター	machining center
インターネットショッピング	internet shopping
コンピュータウイルス	computer virus
インターネットプロトコル	internet protocol
イエロージャーナリズム	yellow journalism
カラーコード	color code
ヴィオラダモーレ	viola d'amore
ワードラップ	word wrap
キブアンドテーク	give and take
キャンパスライフ	campus life
ダイアログボックス	dialog box
ケースアース	case earth
バズセッション	buzz session
ミクストリアリティー	mixed reality
ダークマター	dark matter
イエローオークル	yellow ochre
エンパイアチューブ	empire tube
ラブチェア	love chair
ピアグループリーダ	peer group leader
セットアップメッセージ	setup message
セカンドスクール	second school
タイムアップ	time up
フライドエッグ	fried egg
オールドガード	old guard
アイスキャンデー	ice candy
アドレスレジスタ	address register
ホームムービー	home movie
モデルケース	model case
ホワイトカソリン	white gasoline
キーアドバイザー	key advisor
ポジショントーク	position talk
アトランダム	at random
シフォンベルベット	chiffon velvet
サンクガーデン	sunk garden
フルオートマチック	full automatic
ダイブテーブル	dive table
キャラクタベース	character base
セルレートアルゴリズム	cell rate algorithm
アイソレーションタンク	isolation tank
セーフティーファクター	safety factor
オブジェクトモデリングツール	object modeling tool
システムクラッシュ	system crash
アウトドアレジャー	outdoor leisure
インディアンサマー	indian summer
トリックオアトリート	trick or treat
オーバーフローエラー	overflow error
ナショナルトラスト	national trust
ビデオボード	video board
ハイオクタンガソリン	high octane gasoline
シートフィーダ	sheet feeder
ライナーノーツ	liner notes
テクノサウンド	techno sound
ベッドスロー	bed throw
アールデコ	art deco
スクリーンモード	screen mode
ナイトランプ	night lamp
リッピングソフトウェア	ripping software
トリッピー	tri p
サウンドインターフェース	sound interface
メインストリート	main street
マタニティマーク	maternity mark
リゾートマンション	resort mansion
トイレットソープ	toilet soap
ゲージブロック	gauge block
ゼロメートル	zero meter
フォーナイン	four nine
アーバンリニュアル	urban renewal
レコードプレーヤー	record player
ショートスケール	short scale
デスマスク	death mask
テクニカルフォール	technical fall
ドアハンドル	door handle
アクセスコントロール	access control
スタティックプラグアンドプレイ	static plug and play
ホワイトテールメージャー	whitetail major
ベースラインドキュメント	baseline document
インディアンブルー	indian blue
フレンチネイル	french nail
シュガークラフト	sugar craft
ハンマービーム	hammer beam
モーションキャプチャ	motion capture
レストランシアター	restaurant theater
ブリックチーズ	brick cheese
ボイルドエッグ	boiled egg
タトゥーシール	tattoo sticker
ダブルバインド	double bind
プレスリリース	press release
スイッチアーキテクチャ	switch architecture
センターパート	center part
レモンソール	lemon sole
ロータリーエンジン	rotary engine
ライトインダストリー	light industry
ワンストップ	one stop
ハンドトラクター	hand tractor
コールローン	call loan
グレーコード	gray code
ブートレコード	boot record
マーケティングコミュニケーション	marketing communication
セルフケア	self care
プロダクトプレースメント	product placement
ネガティブカラー	negative color
パフトライス	puffed rice
ダブルダッチ	double dutch
ユニットストックコントロール	unit stock control
ミリオンセラー	million seller
グリーンリーフ	green leaf
エレクトリックコマース	electric commerce
エレクトロニックスポーツ	electronic sports
ヌードスタジオ	nude studio
ハイスピードスチール	high speed steel
ミトコンドリアイブ	mitochondrial eve
ヌーベルキュイジーヌ	nouvelle cuisine
ソースドライブ	source drive
ルームライト	room light
アイスジャイアント	ice giant
キャリアメール	carrier mail
アンチロマン	anti roman
グリーンティー	green tea
エキゾーストパイプ	exhaust pipe
スノーブーツ	snow boots
ベータアミロイド	beta amyloid
フェースカード	face card
タンシチュー	tongue stew
テーブルゲーム	table game
クリップボードコンピュータ	clipboard computer
サーキットトレーニング	circuit training
フレキシブルコンテナ	flexible container
ガジェットバッグ	gadget bag
テレフォンカード	telephone card
ウェブブラウザ	web browser
カレントレコード	current record
タップダンサー	tap dancer
オープンマリッジ	open marriage
エアコンプレッサー	air compressor
ファイルグループクラス	file group class
ステップターン	step turn
アニマルライト	animal right
スキムミルク	skim milk
ナショナルチェーン	national chain
ボクシンググローブ	boxing glove
グラスルートデモクラシー	grassroot democracy
カードスロット	card slot
トマトピューレー	tomato puree
オールシーズンドレス	all season dress
デイトレード	day trade
パックスアメリカーナ	pax americana
スタートラッカ	star tracker
データレコード	data record
デュアルタイムレース	dual time race
レッドアイ	red eye
データエンジン	data engine
ウエルカムボード	welcome board
マスターコース	master course
アドホック	ad hoc
ジョブキュー	job queue
カリビアンリーフシャーク	caribbean reef shark
ヌードモデル	nude model
ユビキタスコンピューティング	ubiquitous computing
ニクソンショック	nixon shock
ルーフバルコニー	roof balcony
パセティックドラマ	pathetic drama
ハイカット	high cut
フラットベットスキャナ	flatbed scanner
イメージスキャナ	image scanner
オプションボタン	option button
アイドルシステム	idle system
ベストフレンド	best friend
ヴァンドパイユ	vin de paille
クレーコート	clay court
レスポンスフレーム	response frame
ブラックチェンバー	black chamber
プログラムマネージャ	program manager
ホストマシン	host machine
プログラムリスト	program list
ギフトショップ	gift shop
デイリーニュース	daily news
テレビジョンファクシミリ	television facsimile
ナイトマーケット	night market
フロントバッファ	front buffer
メールアカウント	email account
ケーブルアセンブリ	cable assembly
ワンパタン	one pattern
ドライシャンプー	dry shampoo
ツールボタン	tool button
サニーレタス	sunny lettuce
サブノート	sub note
イースターマンデー	easter monday
ミンチパイ	mince pie
ベストタイプ	best type
デジタルラジオ	digital radio
トップシーン	top scene
ハードパッチ	hard patch
フリーライター	free writer
グレーエリア	gray area
リカバリーショット	recovery shot
ソリューションプロバイダ	solution provider
シュガーコート	sugar coat
ホットポテト	hot potato
アスファルトジャングル	asphalt jungle
プライベートエクイティ	private equity
スコアレスドロー	scoreless draw
ハーフメイド	half made
チリコンカーン	chili con carne
クロスチェック	cross check
キラーロボット	killer robot
ブラックマネー	black money
フェイクファー	fake fur
アドバルーン	ad balloon
ホームテレホン	home telephone
スパイダーウェブ	spider web
スパゲッティコード	spaghetti code
ポイントアンドフィギュア	point and figure
イントロビジョン	intro vision
マジックグラス	magic glass
パワーゲーム	power game
アーバンライフ	urban life
ブートキャンプ	boot camp
パイロットフィルム	pilot film
オンラインデータベース	online database
ノースモーキング	no smoking
バッティングピッチャー	batting pitcher
イオンデポジションプリンタ	ion deposition printer
カウボーイブーツ	cowboy boots
メインメモリー	main memory
ボリュームコントロール	volume control
ウェスタングリップ	western grip
デッドタイム	dead time
ショートトラック	short track
フルレングス	full length
コンピューターリテラシ	computer literacy
ロッケンロール	rock and roll
テキサスリグ	texas rig
リッチメディア	rich media
トマスカップ	thomas cup
パッシブハウス	passive house
アクセスチャージ	access charge
フォームスタッカー	form stacker
クイックソート	quick sort
メモリアルパーク	memorial park
キャビンアテンダント	cabin attendant
ナチュラルサイエンス	natural science
リベラルフェミニズム	liberal feminism
スリーピース	three piece
アイスクリームソーダ	ice cream soda
トランザクションパイプライン	transacted pipeline
スポーツサイエンス	sports science
フルーツサンド	fruits sand
リーディングジョッキー	leading jockey
コンバチブルマシン	compatible machine
ポストオフィス	post office
スクエアネック	square neck
チップセット	chip set
デザインプロモーター	design promoter
ダブルルーム	double room
デーリーエキスプレス	daily express
イベントコンパニオン	event componion
ハードターゲット	hard target
パラレルターン	parallel turn
メンタルケア	mental care
ソーイングマシーン	sewing machine
マネーサプライ	money supply
ナショナルステートメント	national statement
マスターハブ	master hub
オイルシルク	oil silk
ホイールマウス	wheel mouse
フリーソフトウエア	free software
インフォメーションアナリスト	information analyst
テニスコート	tennis court
シルバーボランティア	silver volunteer
ガスカーボン	gas carbon
タッチゾーン	touch zone
コンフオーコ	con fuoco
サービスプレート	service plate
インスタントメッセージ	instant message
セパレートアドレッシング	separate addressing
グロースリセッション	growth recession
ダイニングチェア	dining chair
バックエンド	back end
サントメ	sao tome
クリーナープロダクション	cleaner production
アーバンファーニチャー	urban furniture
ダブルハイフン	double hyphen
セルフブランディング	self branding
ラップジョイント	lap joint
ウエルカムドリンク	welcome drink
ワゴンセール	wagon sale
リビングウィル	living will
フラットパネル	flat panel
タイムフェンス	time fence
プラムプディング	plum pudding
オールオアナシング	all or nothing
エキシビションゲーム	exhibition game
ウエーブフロント	wave front
ワーキングホリデー.	working holiday
メディシンボール	medicine ball
ミラーサーバー	mirror server
アーカイブデータセット	archive data set
カシミールカレー	kashmir curry
シンタックスチェッカ	syntax checker
オープンゲーム	open game
グラススキー	grass ski
ビデオキャプチャカード	video capture card
エアシリンダ	air cylinder
コールドボルテックス	cold vortex
イスラミックステート	islamic state
イメージデータ	image data
ブートドライブ	boot drive
シンクロナイズドスイミング	synchronized swimming
インスリンショック	insulin shock
ワゴンモール	wagon mould
バーミューダトライアングル	bermuda triangle
メディアポリシー	media policy
ベストコンディション	best condition
ファクトリオートメーション	factory automation
ウエートベルト	weight belt
ハーフトーン	half tone
ボーガン	bow gun
ダークサイド	dark side
フライトエンジニア	flight engineer
フリッカーテスト	flicker test
ロゴマーク	logo mark
モーションピクチュア	motion picture
テストモード	test mode
セクシャルマイノリティー	sexual minority
ヴァリエーションドリル	variation drill
バルミツヴァー	bar mitzvah
ビジネストラヒック	business traffic
フリーズドライ	freeze dry
ダイクロイックミラー	dichroic mirror
ライフベスト	life vest
レユニオンエンジェルフィッシュ	reunion angelfish
オープンスタンス	open stance
ローアングル	low angle
ディレクトリサービス	directory service
ストリップガール	strip girl
アカウンティングマシン	accounting machine
カクテルパーティ	cocktail party
ボディーシザーズ	body scissors
チャチャチャ	cha cha cha
バッドエンド	bad end
パールグレー	pearl gray
サイドストーリー	side story
ブラックバースト	black burst
レギュラーコーヒー	regular coffee
ステアリングコミッティー	steering committee
ラバーダック	rubber duck
サブゴール	sub goal
カープール	car pool
アールヌーボー	art nouveau
システムパラメター	system parameter
ビデオキャプチャ	video capture
ドリフトダイブ	drift dive
カラーアナリスト	color analyst
フォールスアイサージャント	false eye sergeant
ブルシャーク	bull shark
ダイレクトメソッド	direct method
アキシアルピストンポンプ	axial piston pump
コントロールライン	control line
バイスプレジデント	vice president
ニュースリーダー	news reader
シートノック	seat knock
ガーベッジコレクション	garbage collection
カラーリバーサルフィルム	color reversal film
ラピッドファイア	rapid fire
メイヤーレモン	meyer lemon
テニスエルボー	tennis elbow
ドアアイ	door eye
エディットボックス	edit box
パワーワード	power word
ポイントオブプレザンス	point of presence
ショートスクイズ	short squeeze
インターロッキンググリップ	interlocking grip
ローエンド	low end
インフォウェッブ	info web
ターミナルアダプター	terminal adapter
ポートアウト	port out
キャリアセンス	carrier sense
インテリアデコレーション	interior decoration
モービルハム	mobile ham
ビジネスモデリングオブジェクト	business modeling object
カメラアイ	camera eye
ベストタイム	best time
バーストトラフィック	burst traffic
スナッフフィルム	snuff film
グルテンミート	gluten meat
ボンドガール	bond girl
ベクトルプロセッサ	vector processor
ターボジェットエンジン	turbojet engine
インフォーマルケア	informal care
ベンチウォーマー	bench warmer
ロールイン	roll in
システムプロセス	system process
レッサーパンダ	lesser panda
ハンバーグステーキ	hamburg steak
ウェディングベール	wedding veil
ラムレーズン	rum raisin
トランスファーマシン	transfer machine
ジャズクラブ	jazz club
アウトウエア	out wear
ライスカレー	rice curry
エンドゾーン	end zone
モーゲージブローカー	mortgage broker
ケーブルカー	cable car
ハイジャッンプ	high jump
ウィンドローズ	wind rose
ボディタッチ	body touch
ドルビーサラウンド	dolby surround
キーリング	key ring
ネーブルオレンジ	navel orange
セキュリティシステム	security system
ウイナーテイクオール	winner take all
ウェブサーファー	web surfer
アスリートファンド	athlete fund
ネットカジノ	net casino
ターニングポイント	turning point
エンジンルーム	engine room
サンユーザグループ	sun user group
ゴーイングコンサーン	going concern
サイケデリックロック	psychedelic rock
チャールズバベイジ	charles babbage
カップリングシュガー	coupling sugar
コモンキャリア	common carrier
サーフェイスモデル	surface model
スクリーンフォント	screen font
エイトビート	eight beat
ビーチサンダル	beach sandals
カーシェア	car share
フローコントロール	flow control
ドリルダウン	drill down
テニスウェア	tennis wear
ビーチガウン	beach gown
ロングストライド	long stride
フリップフロップ	flip flop
ライダースジャケット	rider's jacket
イールドカーブ	yield curve
プロセスインタフェースシステム	process interface system
マグネットバイク	magnet bike
プルバック	pull back
ロックンロール	rock and roll
コスチュームジュエリー	costume jewelry
ホットスポット	hot spot
アタッシェケース	attache case
ミキシングボウル	mixing bowl
インハウス	in house
インタフェースカード	interface card
ピッチパイプ	pitch pipe
ピアスホール	pierce hole
コールドブート	cold boot
コピーガード	copy guard
チャンピオンフラッグ	champion flag
シフトドレス	shift dress
コンテクストセンシティブ	context sensitive
ウオータークロゼット	water closet
ドープチェック	dope check
ネットニュース	net news
ハワイアングレゴリー	hawaiian gregory
フィスカルポリシー	fiscal policy
ナーサリーライム	nursery rhyme
オンスクリーン	on screen
ファイルアロケーションテーブル	file allocation table
フードロス	food loss
マタニティーハラスメント	maternity harassment
ユニタリータックス	unitary tax
ユーザーフレンドリ	user friendly
トリアージタッグ	triage tag
ユーザーフレンドリー	user friendly
スーパーハイデッカー	super high decker
アスコットタイ	ascot tie
オンボード	on board
ニュースシステム	news system
ライオンタマリン	lion tamarin
セーラーカラー	sailor collar
タムタム	tam tam
ベクトルジェネレータ	vector generator
オフブロードウェー	off broadway
ケアワーカー	care worker
グランドホステス	ground hostess
キャットボンド	cat bond
ビーフウェリントン	beef wellington
デジタルアート	digital art
ハードセクター	hard sector
スケールモデル	scale model
オリジネートモード	originate mode
パーキングメーター	parking meter
スティルライフ	still life
ソブリンローン	sovereign loan
プリミティブアート	primitive art
カバーレター	cover letter
パーフェクトボディー	perfect body
ウエストボール	waste ball
ジャパンレールパス	japan rail pass
バスマット	bath mat
ギアチェンジ	gear change
キャッチホン	catch phone
データマイニング	data mining
ラインシャフト	line shaft
ポピュラーミュージック	popular music
スパゲティウエスタン	spaghetti western
リボンストライプ	ribbon stripe
ワインディングロード	winding road
ピーナツバター	peanut butter
ワンセット	one set
ストリートガール	street girl
コーンスノー	corn snow
スパゲッティーミートソース	spaghetti meat sauce
オンラインバックアップ	online backup
エンドエンド	end to end
ラジアルタイヤ	radial tire
テクノポップ	techno pop
ポップジャズ	pop jazz
ノーマルタイヤ	normal tire
サインブック	sign book
インフォメーションブローカー	information broker
スタッフイット	stuff it
セントラルヒーティング	central heating
インターネットサービスプロバイダ	internet service provider
クロスファイア	cross fire
ワッフルスラブ	waffle slab
スマートグリッド	smart grid
ケースカンファレンス	case conference
ピットクルー	pit crew
ストーリーテラー	story teller
アンチダイブ	anti dive
イヤーウォーマー	ear warmer
ズームアウト	zoom out
カラーダイナミックス	color dynamics
オーファンドラッグ	orphan drug
オイルショック	oil shock
ソフトウェアパッケージ	software package
レコーディングスタジオ	recording studio
スピーチセラピー	speech therapy
スタートアップディスク	startup disk
ノンワイヤー	non wire
チュウインガム	chewing gum
スターガイド	star guide
ウイスキーサワー	whisky sour
タブレットボタン	tablet button
ループヤーン	loop yarn
ハイスクール	high school
カベルネフラン	cabernet franc
カーダンパー	car dumper
コンスタントシェーディング	constant shading
アクセスタイム	access time
ハンバーガーショップ	hamburger shop
キックスターター	kick starter
モーメントマグニチュード	moment magnitude
ウインドシアー	wind shear
コモンランゲージ	common language
イージーケア	easy care
ピグミーチンパンジー	pygmy chimpanzee
ラッテアート	latte art
テレホンアポイントメント	telephone appointment
シガレットライター	cigarette lighter
サービスヤード	service yard
リンディホップ	lindy hop
チェックイン	check in
グループウィンドウ	group window
ワンタッチ	one touch
ネットストア	net store
シンクライアント	thin client
ライトツナフレーク	light tuna flake
レーンシューズ	rain shoes
バンドカラー	band collar
グリッドプラニング	grid planning
メディアバッシング	media bashing
パラパラ	para para
リンクトマルチセッション	linked multi session
スターリングエンジン	sterling engine
タスクバー	task bar
テーラーシステム	taylor system
ベイクドアラスカ	baked alaska
ケミカルライト	chemical light
オートナース	auto nurse
キャリッジリターン	carriage return
ハイティーン	high teens
マイナーバージョンアップ	minor version up
ビジティングチーム	visiting team
スチームバス	steam bath
マットプレイ	mat play
スイートピー	sweet pea
マングローブモニター	mangrove monitor
ドアヒンジ	door hinge
テレビジョンガイド	television guide
ビットレイト	bit rate
グリーンタフ	green tuff
エックスウィンドウ	x window
パラダイムシフト	paradigm shift
インフォメーションスーパーハイウェイ	information superhighway
ブロードバンドルータ	broadband router
ブルーブラック	blue black
レディーファースト	ladies first
レモンイエロー	lemon yellow
ムードメーカー	mood maker
キウイフルーツ	kiwi fruit
アイリスアウト	iris out
コメディーリリーフ	comedy relief
ステインドグラス	stained glass
ダブルボタン	double button
キャッシュベルト	cash belt
モーゲッジファンド	mortgage fund
スタンディングウエーブ	standing wave
リセットモード	reset mode
ユニフォームリソースロケータ	uniform resource locator
ドーマーウインドー	dormer window
ミルクプラント	milk plant
ドイモイ	doi moi
ヤングミセス	young mrs
シルバーグレー	silver gray
キーボードリセット	keyboard reset
インテリジェンステスト	intelligence test
ローカルコンテント	local content
バッキングストア	backing store
エクスプロージョンショット	explosion shot
ロボットアーム	robot arm
ルクスメーター	lux meter
フォールトトレラント	fault tolerant
フルモーションビデオ	full motion video
システムバイオロジー	system biology
モデムカード	modem card
イーストサイド	east side
メディアリテラシー	media literacy
クラブチーム	club team
アレンレンチ	allen wrench
アマチュアレスリング	amateur wrestling
トップマネージメント	top management
ジムクロウ	jim crow
ワンボックス	one box
オンラインデータベースシステム	online database system
ホームセンター	home center
ポーラータイ	bola tie
ハッピーライフ	happy life
ウェットフライ	wet fly
ユーティリティープログラム	utility program
スプレーガン	spray gun
フードスタイリスト	food stylist
ギヤトレーン	gear train
エラーチェック	error check
アクセスコード	access code
パフアダー	puff adder
シーバース	sea berth
ウェットティッシュ	wet tissue
スターリングシルバー	sterling silver
サブリミナルアド	subliminal ad
ディメンションメンバ	dimension member
ダブルデート	double date
マリンルック	marine look
エナジーセーブ	energy save
トレーラーハウス	trailer house
フレンチブルドッグ	french bulldog
アシスタントオブジェクト	assistant object
ドローンゲーム	drawn game
ミニコミュニケーション	mini communication
ハーフパンツ	half pants
ピザパーラー	pizza parlor
ボックスレンチ	box wrench
ライターケース	lighter case
メディアアート	media art
フォトリアリスティック	photo realistic
セクシュアルマイノリティー	sexual minority
ロージンバッグ	rosin bag
ベースマネー	base money
ドライフルーツ	dried fruits
オープンセサミ	open sesame
クイックルワイパー	quick sweeper
ランダムアクセスメモリキャッシュ	random access memory cache
ランマネージャー	lan manager
メタアナリシス	meta analysis
パニックディスオーダー	panic disorder
カロリーオフ	calorie off
ミスマッチ	mis match
ターゲットマーケティング	target marketing
タップアウト	tap out
プロジェクションマッピング	projection mapping
タービンエンジン	turbine engine
リーディングインダストリー	leading industry
フローズンフード	frozen food
ソフトコピー	soft copy
アンティークファッション	antique fashion
アームチェアディテクティブ	armchair detective
レイシャルハラスメント	racial harassment
ビスタカー	vista car
ソフトビニール	soft vinyl
フルーツソース	fruits sauce
ブルーチーズ	blue cheese
ラストシーン	last scene
パーフェクトゲーム	perfect game
フルーツジュース	fruits juice
コンセプトアド	concept ad
キックボード	kick board
ローパーテーション	low partition
ローカルループ	local loop
フリールーチン	free routine
クラウディングアウト	crowding out
イメージセンサー	image sensor
ハングテン	hang ten
スポーツコンパクト	sport compact
オポジションパーティー	opposition party
パブリックコメント	public comment
リモートコンピューティング	remote computing
オープンチケット	open ticket
パーマカルチャー	perma culture
フレアーミニ	flare mini
ニュージャーナリズム	new journalism
マーケットリーダー	market leader
サラダボウル	salad bowl
コンピューターサイエンス	computer science
スポーツジム	sports gym
ホームシアター	home theater
チューリングマシン	turing machine
セメントモルタル	cement mortar
フロアレディー	floor lady
インプロセス	in process
バットジョイント	butt joint
シリアルデバイス	serial device
ファンコイルユニット	fan coil unit
パーティーピープル	party people
アイボルト	eye bolt
ベーシックイングリッシュ	basic english
ホームグロウンテロ	homegrown terror
ライブショー	live show
ポテトサラダ	potato salad
オンラインマガジン	online magazine
メールリーダー	mail reader
テープスプール	tape spool
ハンドリフト	hand lift
イエロータン	yellow tang
ゲートウェーサービス	gateway service
クッキングスクール	cooking school
ドルシフト	dollar shift
ビーフシチュー	beef stew
グラフィックスターミナル	graphics terminal
カリフォルニアロール	california roll
ビッグゲーム	big game
カレーライス	curry rice
ニュースバリュー	news value
ツーピース	two piece
フレームベース	frame base
チルドビーフ	chilled beef
スピードダウン	speed down
インクリメンタルサーチ	incremental search
ドレーンコック	drain cock
バレルオルガン	barrel organ
マイクスタンド	mike stand
トレイルランニング	trail running
ヌルモデム	null modem
サーバーサイド	server side
アフィリエートブログ	affiliate blog
インドライオン	indo lion
レーサーパンツ	racer pants
セックステクニック	sex technique
シンガポールスリング	singapore sling
リリアン	lily yarn
アミューズブッシュ	amuse bouche
トータルコスト	total cost
テクノロジーアート	technology art
インダストリアルデザイン	industrial design
グリーンファイヤーテトラ	green fire tetra
スポーツフェアー	sports fair
セルスクランブル	cell scramble
ロードレース	road race
ポケットサイズ	pocket size
ハンディキャップレース	handicap race
グライドパス	glide path
メスフラスコ	mess flask
オールカラー	all color
ジャンクフード	junk food
ビデオエンジニア	video engineer
ギフトパッケージ	gift package
ミニスカート	mini skirt
ベースメモリ	base memory
ビジネスクラス	business class
ハーフハイト	half height
カスタマーサポート	customer support
ヌルポインター	null pointer
マリンブルー	marine blue
プロレスラー	pro wrestler
ワイルドピッチ	wild pitch
アダルトゲーム	adult game
シザースジャンプ	scissors jump
アブストラクトゲーム	abstract game
フルボイス	full voice
クリスマスパーティー	christmas party
ライトバン	light van
シルバーシャーク	silver shark
スクエアダンス	square dance
メーンスタジアム	main stadium
レッグガース	leg guards
ヤングアダルト	young adult
アパチャカード	aperture card
レザーカット	razor cut
カラーセパレーション	color separation
ローウエスト	low waist
ブロークンハート	broken heart
テクニカルルーチン	technical routine
ジンクフィンガー	zinc finger
セットアッパー	set upper
カーライフ	car life
パッケージソフト	package soft
システムトレード	system trade
ミュージックセラピー	music therapy
ホームベース	home base
デスクトップミュージック	desktop music
プレビューリリース	preview release
ビジネススキーム	business scheme
シューズラック	shoe rack
ダイヤルトーン	dial tone
バッチファイル	batch file
ジャーマンシェパード	german shepherd
コモンキャリヤー	common carrier
シールドルーム	shield room
ビジネスチャンス	business chance
ハンディムック	handy mook
スケールアップ	scale up
ホットウオー	hot war
メーンスタンド	main stand
カーナビゲーション	car navigation
タグチーム	tag team
ハイファイ	hi fi
ビデオリンク	video link
ライティングデスク	writing desk
クリアランスセール	clearance sale
セントラルプロセシングユニット	central processing unit
ディキシーランドジャズ	dixieland jazz
ユービキタスコンピューティング	ubiquitous computing
フリーパス	free pass
トップコンディション	top condition
ユーザーズガイド	user's guide
オーデコロン	eau de cologne
ファイルモード	file mode
ファクシミリアダプタ	facsimile adapter
テーブルトーク	table talk
プレミアムフライデー	premium friday
リロケーションサーブス	relocation service
ウインドヤッケ	wind jacket
タウンミーティング	town meeting
ボリュームマネージャ	volume manager
アスファルトコンクリート	asphalt concrete
コーンフレークス	corn flakes
ゲストメンバー	guest member
リカバリメディア	recovery media
ライフワーク	life work
テークアウト	take out
ガーデンクレス	garden cress
ネットワークエンジニアリング	network engineering
トランスファーマシーン	transfer machine
シンジケートローン	syndicate loan
イベントプロバイダ	event provider
グラフエリア	graph area
マスドライバー	mass driver
サファリジャケット	safari jacket
フラグレジスタ	flag register
ロードマップ	road map
ボイスパーカッション	voice percussion
ライトグリーン	light green
アーバンビレッジ	urban village
フィッティングルーム	fitting room
キネシオロジーテープ	kinesiology tape
タータンチェック	tartan check
キーホルダー	key holder
アウトオブバウンズ	out of bounds
ダイレクトシュート	direct shoot
スロープカー	slope car
アナログプロセッサ	analog processor
システムインテグレータ	system integrator
ウィンドウアクセラレータボード	windows accelerator board
グローブボックス	glove box
パラレルデバイス	parallel device
アシンメトリックデザイン	asymmetric design
ネットワークインターフェースカード	network interface card
モラルサポート	moral support
フォトフレーム	photo frame
バーチャルコネクション	virtual connection
スマートカード	smart card
デイケア	day care
テープフレーム	tape frame
エコーチェック	echo check
クローズアップ	close up
ショートピン	short pin
オンザフライ	on the fly
パイグラフ	pie graph
モービルコンピューティング	mobile computing
メーンメモリー	main memory
ショックセオリー	shock theory
ファミリーレストラン	family restaurant
ノーザンテレコム	northern telecom
スライディングタックル	sliding tackle
ダブルジョーゼット	double georgette
ダメージコントロール	damage control
ビットプレーン	bit plane
ショートショート	short short
ドットマトリックス	dot matrix
グラフィックカード	graphic card
パイロットボート	pilot boat
リゾートハウス	resort house
チャネルステータスワード	channel status word
ダーウィンレア	darwin rhea
ローリングプラン	rolling plan
ワークシェアリング	work sharing
サイレントキラー	silent killer
プラントリノベーション	plant renovation
ハイキー	high key
アロハシャツ	aloha shirts
インストレーションプログラム	installation program
ロングステイ	long stay
アドイン	add in
エアダムチーズ	edam cheese
ケーブルセレクト	cable select
オープンコース	open course
コテージパイ	cottage pie
オンスクリーンディスプレイ	on-screen display
ユーティリティールーム	utility room
アパレルメーカー	apparel maker
ボディスラム	body slam
グレーマーケット	grey market
フォントメトリック	font metric
データアナリスト	data analyst
ドメスティックブランド	domestic brand
ハンドローション	hand lotion
リセットボタン	reset button
スパイスカレー	spice curry
ディスクミラーリング	disk mirroring
ホワイトミート	white meat
プレーヤーピアノ	player piano
カドミウムイエロー	cadmium yellow
インターネットエクスプローラ	internet explorer
ナイスボディー	nice body
ハンドマネー	hand money
コマンドキー	command key
マルチセッション	multi session
イコールオポチューニティー	equal opportunity
スターズアンドストライプス	stars and stripes
オートトランスフォーマー	auto transformer
キャラクタセル	character cell
ウェリントンブーツ	wellington boots
ソーシャルケースワーク	social casework
コンセプトカー	concept car
デーライトスクリーン	daylight screen
メディアファミリ	media family
アンチエスタブリッシュメント	anti establishment
プリエンプティブマルチタスク	preemptive multitask
レディーズファースト	ladies first
アキシャルオフセット	axial offset
データチャンネル	data channel
クラブフェース	club face
アンサーファイル	answer file
ボーディングパス	boarding pass
パラレルコンピュータ	parallel computer
ミストサウナ	mist sauna
サブリナパンツ	sabrina pants
エアホール	air hole
エラーメッセージ	error message
スローロリス	slow loris
リードタイム	lead time
リザーブファンド	reserve fund
スクリーンミュージック	screen music
ビーンボール	bean ball
テレビジョンショッピング	television shopping
コルニッシュボイラー	cornish boiler
スーパーチェーン	super chain
スポンサーシップマネー	sponsorship money
スーパースコープ	super scope
マトリクススイッチャー	matrix switcher
ドアポスト	door post
ゴールキック	goal kick
カスケードシャワー	cascade shower
フォールアウトシェルター	fallout shelter
ワンコイン	one coin
バインミー	banh mi
アイデンティティーカード	identity card
ハードウェアベース	hardware based
ピケットライン	picket line
ユーザレベル	user level
シングルシフト	single shift
ラスタフォント	raster font
マクロアセンブラ	macro assembler
パラレルインターフェイス	parallel interface
オールウエザー	all weather
